"No.","Name","Roaming Channel Member",
"1","StereaEllada 202","SW1F-202|SW1J-202"
"2","StereaEllada 9","SW1F-9|SW1J-9"
"3","Ken.Dit Make 202","SV2U-202|SW2A-202|SW2G-202|SV2K-202|SW2L-202|SW2J-202"
"4","Ken.Dit Make 9","SV2U-9|SW2A-9|SW2G-9|SV2K-9|SW2L-9|SW2J-9"
"5","Peloponisos 202","SV3U-202|Test Tripoli-202|SV3O-202|SV3P-202"
"6","Peloponisos 9","SV3U-9|Test Tripoli-9|SV3O-9|SV3P-9"
"7","Thesalia 202","SV4R-202|SV4T-202|SZ4The-202|SW2G-202"
"8","Thesalia 9","SV4R-9|SV4T-9|SZ4The-9|SW2G-9"
"9","Dodekanisa 202","SV5F-202|SV5H-202|SV5Te-202"
"10","Dodekanisa 9","SV5F-9|SV5H-9|SV5Te-9"
"11","Hpeiros 202","SV6N-202"
"12","Hpeiros 9","SV6N-9"
"13","Thra.AnMaked 202","SV7O-202|SZ7DAK-202|SV7P-202"
"14","Thra.AnMaked 9","SV7O-9|SZ7DAK-9|SV7P-9"
"15","Aigeo 202","SW8N-202|SW8P-202|SW8T-202|SW8W-202|SW8X-202"
"16","Aigeo 9","SW8N-9|SW8P-9|SW8T-9|SW8W-9|SW8X-9"
"17","Ionio 202","SW8S-202|SV6N-202"
"18","Ionio 9","SW8S-9|SV6N-9"
"19","Kriti 202","SV9J-202|SV9O-202"
"20","Kriti 9","SV9J-9|SV9O-9"
"21","Ellada 202","SW1F-202|SW1J-202|SW2A-202|SW2G-202|SV2K-202|SW2L-202|SW2J-202|SV2U-202|SV3O-202|SV3P-202|SV3U-202|Test Tripoli-202|SV4R-202|SV4T-202|SZ4The-202|SV5F-202|SV5H-202|SV6N-202|SV7O-202|SZ7DAK-202|SW8N-202|SW8P-202|SW8S-202|SW8T-202|SW8W-202|SW8X-202|SV9J-202|SV9O-202"
"22","Ellada 9","SW1F-9|SW1J-9|SW2A-9|SW2G-9|SV2K-9|SW2L-9|SW2J-9|SV2U-9|SV3O-9|SV3P-9|SV3U-9|Test Tripoli-9|SV4R-9|SV4T-9|SZ4The-9|SV5F-9|SV5H-9|SV6N-9|SV7O-9|SZ7DAK-9|SW8N-9|SW8P-9|SW8S-9|SW8T-9|SW8W-9|SW8X-9|SV9J-9|SV9O-9"
"30","Athi-Thesalo 202","SW1F-202|SW1J-202|SW8T-202|SV4R-202|SV4T-202|SW2G-202|SW2J-202|SV2K-202"
"31","Athi-Thesalo 9","SW1F-9|SW1J-9|SW8T-9|SV4R-9|SV4T-9|SW2G-9|SW2J-9|SV2K-9"
"32","Athi-Pirgos 202","SW1F-202|SW1J-202|SV3U-202|Test Tripoli-202|SV3O-202|SV3P-202"
"33","Athi-Pirgos 9","SW1F-9|SW1J-9|SV3U-9|Test Tripoli-9|SV3O-9|SV3P-9"
"34","Athi-Kerkira 202","SW1F-202|SV3U-202|SW8S-202|SW8R-202"
"35","Athi-Kerkira 9","SW1F-9|SV3U-9|SW8S-9|SW8R-2028"
"36","Athi-Samos 202","SW1F-202|SW8X-202|SW8W-202|SW8N-202"
"37","Athi-Samos 9","SW1F-9|SW8X-9|SW8W-9|SW8N-9"
"38","Athi-Evros 202","SW1F-202|SW1J-202|SW8T-202|SV4R-202|SZ4The-202|SV4T-202|SW2G-202|SW2J-202|SV2K-202|SV7O-202|SZ7DAK-202"
"39","Athi-Evros 9","SW1F-9|SW1J-9|SW8T-9|SV4R-9|SZ4The-9|SV4T-9|SW2G-9|SW2J-9|SV2K-9|SV7O-9|SZ7DAK-9"
"40","Athi-Kastorg 202","SW1F-202|SW1J-202|SW8T-202|SV4R-202|SZ4The-202|SW2G-202|SW2J-202|SW2A-202|SV2U-202"
"41","Athi-Kastorg 9","SW1F-9|SW1J-9|SW8T-9|SV4R-9|SZ4The-9|SW2G-9|SW2J-9|SW2A-9|SV2U-9"
"42","Athi-Ioannin 202","SW1F-202|SW1J-202|SW8T-202|SV6N-202"
"43","Athi-Ioannin 9","SW1F-9|SW1J-9|SW8T-9|SV6N-9"
