"No.","Radio ID","Name","Call Type","Call Alert"
"1","202","202","Group Call","None"
"2","9","9","Group Call","None"
"3","8","8","Group Call","None"
"4","8001","8001","Group Call","None"
"5","9990","9990","Group Call","None"
"6","4241","4241","Group Call","None"
"7","4242","4242","Group Call","None"
"8","4243","4243","Group Call","None"
"9","4244","4244","Group Call","None"
"10","4245","4245","Group Call","None"
"11","4246","4246","Group Call","None"
"12","4247","4247","Group Call","None"
"13","4148","4148","Group Call","None"
"14","4248","4248","Group Call","None"
"15","4048","4048","Group Call","None"
"16","4249","4249","Group Call","None"
"17","5000","5000","Group Call","None"
"18","4000","4000","Group Call","None"
"19","280","280","Group Call","None"
"20","400","400","Group Call","None"
"21","500","500","Group Call","None"
"22","2021","2021","Group Call","None"
"23","2022","2022","Group Call","None"
"24","2023","2023","Group Call","None"
"25","2024","2024","Group Call","None"
"26","2025","2025","Group Call","None"
"27","2026","2026","Group Call","None"
"28","2027","2027","Group Call","None"
"29","2028","2028","Group Call","None"
"30","2029","2029","Group Call","None"
"31","20207","20207","Group Call","None"
"32","202601","202601","Group Call","None"
"33","202604","202604","Group Call","None"
"34","930","930","Group Call","None"
"35","91","91","Group Call","None"
"36","3100","3100","Group Call","None"
"37","202011","202011","Group Call","None"
"38","202012","202012","Group Call","None"
"39","202999","202999 AprsBM","Private Call","None"
"40","20281","20281","Group Call","None"
"41","4240","4240+Emergency","Private Call","None"
"42","20221","20221 Thes/niki","Group Call","None"
"43","4930","4930 +Reflector","Private Call","None"
"44","4592","4592Quebeq","Private Call","None"
"45","8002","8002","Group Call","None"
"46","8003","8003","Group Call","None"
"47","8004","8004","Group Call","None"
"48","8005","8005","Group Call","None"
"49","8006","8006","Group Call","None"
"50","8007","8007","Group Call","None"
"51","8008","8008","Group Call","None"
"52","8009","8009","Group Call","None"
